,city,district,address,object_type,land_type,constructed_date,management,building_type,living_room,bed_room,toilet,compartment,balcony,land,building,parking,parking_type,price_sqm,price_parking,price_total,building_area,land_area,parking_area,latitude,longitude
23468,桃園市,楊梅區,青山一街161號5F,房地(土地+建物)+車位,住,2018-11-22,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,2,1,1,坡道平面,55286,1047000,6318000,63.25,20.09,29.33,24.92106,121.17368
23470,桃園市,楊梅區,青山一街119-1號13F,房地(土地+建物)+車位,住,2019-04-18,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,56846,1232000,6459000,63.25,21.25,30.97,24.92158,121.1746
23471,桃園市,楊梅區,青山一街181號14F,房地(土地+建物)+車位,住,2018-11-22,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,2,1,1,坡道平面,56238,1100000,7163000,71.52,22.75,31.74,24.92104,121.17394
23472,桃園市,楊梅區,青山一街121-1號15F,房地(土地+建物)+車位,住,2019-04-18,False,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,57129,1161000,6414000,63.25,21.25,30.97,24.92155,121.17448
23480,桃園市,楊梅區,金德路22號13樓,房地(土地+建物)+車位,住,2016-11-08,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,62434,1100000,9390000,90.63,23.3,41.86,24.91557,121.14631
23486,桃園市,大溪區,仁善街２０６號十樓之３,房地(土地+建物)+車位,住,2018-08-15,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,2,坡道平面,59129,2800000,11800000,103.19,29.48,72.92,24.91011,121.28156
23487,桃園市,大溪區,仁善街２０８號九樓之７,房地(土地+建物)+車位,住,2018-08-15,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,67007,1400000,9680000,83.78,23.24,36.46,24.91012,121.28152
23490,桃園市,龍潭區,中豐路中山段97之1號,房地(土地+建物)+車位,住,2018-04-26,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,2,1,坡道平面,47251,0,10320000,117.25,35.12,0.0,24.86788,121.21197
23492,桃園市,中壢區,民權路四段７４０號五樓,房地(土地+建物)+車位,住,2013-02-20,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,67807,0,13800000,117.34,39.47,0.0,25.01268,121.20363
23493,桃園市,中壢區,中北路二段219號四樓,房地(土地+建物)+車位,商,2008-11-06,True,住宅大樓(11層含以上有電梯),2,3,3,True,True,1,2,1,坡道平面,89346,0,21000000,145.84,29.4,0.0,24.95309,121.2286
23496,桃園市,中壢區,領航南路四段３７號十五樓之２,房地(土地+建物)+車位,住,2019-07-25,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,71918,1450000,7750000,59.35,18.36,29.24,24.93648,121.25555
23497,桃園市,中壢區,領航南路四段３３號六樓之１,房地(土地+建物)+車位,住,2019-07-25,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,65403,1450000,8800000,76.28,23.59,29.24,24.98448,121.18567
23499,桃園市,中壢區,領航南路四段２９號十一樓之３,房地(土地+建物)+車位,住,2019-07-25,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,69224,1350000,9110000,76.28,23.59,29.24,25.00489,121.21372
23500,桃園市,中壢區,領航南路四段３３號三樓之２,房地(土地+建物)+車位,住,2019-07-25,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,71461,1350000,7600000,59.35,18.36,29.24,25.00102,121.20386
23505,桃園市,中壢區,青峰路一段４９號十樓,房地(土地+建物)+車位,商,2016-10-10,True,辦公商業大樓,1,0,1,True,True,1,1,2,坡道平面,102054,0,24000000,114.98,29.72,52.94,25.01503,121.21872
23506,桃園市,中壢區,青峰路一段５７號十樓,房地(土地+建物)+車位,商,2016-10-10,True,辦公商業大樓,1,0,1,True,False,1,1,1,坡道平面,101044,0,12000000,58.31,15.03,26.47,25.01486,121.21844
23508,桃園市,中壢區,健行路２００號三樓,房地(土地+建物)+車位,住,1994-01-06,True,華廈(10層含以下有電梯),2,3,2,True,True,1,1,1,坡道平面,55023,0,7800000,99.46,20.59,0.0,24.94795,121.22781
23509,桃園市,中壢區,青峰路一段５１號十樓,房地(土地+建物)+車位,商,2016-10-10,True,辦公商業大樓,1,0,1,True,True,1,1,2,坡道平面,102667,0,25560000,123.76,31.54,52.94,25.01508,121.21864
23510,桃園市,中壢區,青峰路一段５３號十樓,房地(土地+建物)+車位,商,2016-10-10,True,辦公商業大樓,1,0,1,True,False,1,1,1,坡道平面,103130,0,15520000,78.22999999999999,19.27,26.47,25.01501,121.21857
23511,桃園市,中壢區,青峰路一段５５號十樓,房地(土地+建物)+車位,商,2016-10-10,True,辦公商業大樓,1,0,1,True,False,1,1,1,坡道平面,103130,0,15520000,78.22999999999999,19.27,26.47,25.01494,121.2185
23512,桃園市,中壢區,青商路286號二十一樓,房地(土地+建物)+車位,住,2017-12-25,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,2,坡道平面,93367,0,20580000,97.27,29.67,71.22,25.0083,121.22016
23515,桃園市,中壢區,南園二路276號十樓,房地(土地+建物)+車位,住,2011-11-09,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,46540,0,6800000,79.96000000000001,21.04,30.83,24.97191,121.22814
23516,桃園市,中壢區,松勇路３９號四樓之６,房地(土地+建物)+車位,商,2018-11-30,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,54626,900000,6090000,64.07,14.09,43.63,24.95931,121.16658
23517,桃園市,中壢區,松勇路３９號八樓之３,房地(土地+建物)+車位,商,2018-11-30,True,住宅大樓(11層含以上有電梯),2,2,2,True,True,1,1,1,坡道平面,54901,1000000,7100000,74.97,16.34,43.63,24.95931,121.16658
23518,桃園市,中壢區,龍岡路二段８號四樓,房地(土地+建物)+車位,住,2001-11-30,False,華廈(10層含以下有電梯),2,4,2,True,True,1,2,1,坡道平面,63055,0,11300000,115.82000000000001,25.91,0.0,24.9471,121.22782
23521,桃園市,中壢區,民權路三段１５巷７１號,房地(土地+建物)+車位,農,2014-11-15,True,透天厝,2,4,4,True,True,2,1,2,坡道平面,78830,0,33000000,285.84999999999997,158.3,40.94,24.96975,121.21352
23522,桃園市,中壢區,後寮二路２１９巷１２號,房地(土地+建物)+車位,商,2002-05-16,True,透天厝,8,8,8,True,True,1,1,1,坡道平面,39268,0,12400000,234.0,38.91,28.05,24.93796,121.24874
23524,桃園市,中壢區,松勤路68號14樓,房地(土地+建物)+車位,商,2013-02-22,True,住宅大樓(11層含以上有電梯),2,4,2,True,True,1,1,1,坡道平面,45728,0,9350000,109.91,20.53,0.0,24.95932,121.1671
23529,桃園市,中壢區,青商路２６６號八樓,房地(土地+建物)+車位,住,2017-12-25,True,住宅大樓(11層含以上有電梯),2,2,1,True,True,1,1,1,坡道平面,86045,0,12400000,70.52,21.45,35.61,25.00767,121.2196
23531,桃園市,中壢區,六和路３８號三樓之１,房地(土地+建物)+車位,住,1999-09-17,True,住宅大樓(11層含以上有電梯),2,3,2,True,True,1,1,1,坡道平面,65168,0,9800000,93.53999999999999,14.44,0.0,24.96483,121.22434
